61_ni-tian-shuai-ge-zzy.cpp;0;569_zoeyz-6.cpp;100.0;
579_jcfernandez.cpp;1;37_Yulian_Yarema.cpp;70.6;
402_NCAFN3DXBZ.cpp;2;635_liu-xing-0923.cpp;64.2;3;844_Raymond_YP.cpp;46.9;4;826_de_li_de_pao_pao.cpp;43.8;
27_vipjml.cpp;5;89_Akatsuki_.cpp;60.2;6;103_olimpo.cpp;53.8;7;374_colinchen94.cpp;48.7;
366_dpdpdp.cpp;8;914_ares-n.cpp;68.2;9;620_van1984.cpp;55.2;
53_lucifer1005.cpp;10;457_leetchunhui.cpp;55.8;
548_chirano.cpp;11;1018_sonal_G.cpp;57.8;
392_HDSpray.cpp;12;175_EDIEEE.cpp;54.5;
339_jljljljljl.cpp;13;88_Chasey.cpp;55.5;14;400_louisfghbvc.cpp;48.4;
664_CodeBlooded_oo7.cpp;15;484_ruanys.cpp;51.2;
826_de_li_de_pao_pao.cpp;16;844_Raymond_YP.cpp;49.4;17;606_onesunny.cpp;48.5;18;434_Yao_Yin.cpp;45.5;
629_andrerong.cpp;19;274_frostdemonn.cpp;57.3;
14_polonez.cpp;20;216_gggggxz.cpp;60.4;21;60_thenymphsofdelphi.cpp;58.1;
943_Sarthak_Shekhawat.cpp;22;500_evan_hossain.cpp;48.5;
767_acvv_ssssssssssssp-offer.cpp;23;434_Yao_Yin.cpp;49.4;
844_Raymond_YP.cpp;24;610_dqsjysgs.cpp;47.4;
682_z_limbo.cpp;25;400_louisfghbvc.cpp;46.4;
885_codelh7.cpp;26;253_void_ojbk.cpp;52.1;
466_fatalme.cpp;27;197_rarakasm.cpp;48.0;
89_Akatsuki_.cpp;28;813_tyler_durden_07.cpp;46.8;
871_sguox002.cpp;29;55_newhar.cpp;43.6;
