25_xi-jun-xiao-zi.py;0;97_nocilantro.py;50.4;1;52_minz-2.py;36.5;2;8_laekov_prc.py;28.2;3;47_Carno.py;27.4;4;48_n2hawk.py;26.5;5;83_linsinn.py;23.3;
14_lostleaf.py;6;24_jules-megumi.py;43.8;7;64_michael-2.py;29.8;8;29_Firepaw.py;27.5;
8_laekov_prc.py;9;48_n2hawk.py;35.9;10;97_nocilantro.py;29.4;
97_nocilantro.py;11;52_minz-2.py;35.5;12;98_minghuiw.py;24.5;13;58_fanzhh.py;22.0;14;46_SQRPI.py;20.8;
90_regiusquant.py;15;17_please_AC.py;33.7;16;46_SQRPI.py;27.1;
64_michael-2.py;17;24_jules-megumi.py;30.0;18;29_Firepaw.py;25.5;
47_Carno.py;19;92_simpleson.py;29.5;20;83_linsinn.py;24.7;
83_linsinn.py;21;21_ghouyl-2.py;26.8;
58_fanzhh.py;22;98_minghuiw.py;25.7;23;46_SQRPI.py;23.6;
98_minghuiw.py;24;46_SQRPI.py;22.4;
