588_LZH_Yves.cpp;0;208_xiiiiw.cpp;100.0;1;19_WJTung.cpp;90.9;
982_tommyjiang.cpp;2;1025_Gogo93.cpp;100.0;3;327_ChipJay.cpp;100.0;4;71_codancer2000.cpp;92.3;
884_yuanye-2.cpp;5;544_rararaul.cpp;100.0;6;695_CyberGaga.cpp;91.5;7;587_Revali.cpp;90.9;
327_ChipJay.cpp;8;1025_Gogo93.cpp;100.0;9;71_codancer2000.cpp;92.3;
411_panpeng.cpp;10;4_cszclin.cpp;98.3;11;129_Arsenal-591.cpp;96.7;
84_binsjl.cpp;12;496_3month.cpp;98.1;
991_zhongze.cpp;13;842_haibo6.cpp;98.0;
582_da-chui-15.cpp;14;702_MagicianCoder.cpp;96.6;15;737_gab.cpp;94.6;
942_saourabhmittal07.cpp;16;844_ayush1213.cpp;96.4;
865_chen30.cpp;17;501_lapmore.cpp;95.6;
623_chun-qiusdlfjskdfj.cpp;18;165_Marmaduke.cpp;95.0;
4_cszclin.cpp;19;129_Arsenal-591.cpp;95.0;
60_i_love_xiaoshagua_cpp.cpp;20;106_CE_RE_WAyitiaolong.cpp;94.8;
433_VFeccLL7TA.cpp;21;172_agix.cpp;94.2;
136_chenreddy0207.cpp;22;741_ddddyliu.cpp;93.3;23;964_mingrui.cpp;92.7;
372_ShidaLei.cpp;24;261_zoulc.cpp;93.2;
19_WJTung.cpp;25;130_ac130h.cpp;92.7;
71_codancer2000.cpp;26;1025_Gogo93.cpp;92.3;27;350_rsajith.cpp;91.5;
544_rararaul.cpp;28;695_CyberGaga.cpp;91.5;29;587_Revali.cpp;90.9;
