325_khaufnak.java;0;315_cheng-en.java;100.0;1;202_wengames.java;97.2;2;248_anhpp.java;81.5;3;96_TheRaven.java;78.9;
374_tetena573.java;4;136_danielcy715.java;97.0;5;390_nagabhushan.java;87.8;6;198_YuhanWu.java;81.8;
202_wengames.java;7;248_anhpp.java;97.2;8;96_TheRaven.java;94.5;9;315_cheng-en.java;94.5;10;155_muhandae.java;83.7;
246_wtf_wtf.java;11;253_HenryLee4.java;94.5;12;336_guoyihua.java;73.6;
367_luo122174088.java;13;314_swishx.java;88.2;14;136_danielcy715.java;79.4;
390_nagabhushan.java;15;136_danielcy715.java;87.8;16;198_YuhanWu.java;81.8;
247_ChenDanni.java;17;336_guoyihua.java;86.8;18;106_Sun_WuKong.java;71.0;
360_RichardBot7000.java;19;198_YuhanWu.java;87.8;25;68_SaveVMK.java;77.4;
248_anhpp.java;21;96_TheRaven.java;78.9;22;315_cheng-en.java;78.9;
96_TheRaven.java;23;315_cheng-en.java;76.3;
68_SaveVMK.java;24;354_acaibird.java;77.4;20;198_YuhanWu.java;77.4;26;1_uwi.java;70.9;
285_megaspazz.java;27;145_2499370956.java;77.4;29;1_uwi.java;74.1;
1_uwi.java;28;145_2499370956.java;74.1;
