498_mei-shi-lai-shua-liang-ti.cpp;0;421_iridesce.cpp;100.0;1;65_Grave_Me_Gray_For_You.cpp;81.2;2;465_zyounan.cpp;75.0;
27_vipjml.cpp;3;14_Time-Limit.cpp;100.0;4;31_newhar.cpp;58.3;5;76_c_czl.cpp;75.0;6;376_psn.cpp;62.5;
421_iridesce.cpp;7;65_Grave_Me_Gray_For_You.cpp;81.2;8;465_zyounan.cpp;75.0;
382_justcansay666.cpp;9;348_JameyWoo.cpp;73.6;
65_Grave_Me_Gray_For_You.cpp;10;465_zyounan.cpp;66.6;
460_huan0808.cpp;11;339_tghoul.cpp;60.0;
265_TheSink.cpp;12;153_fei-kang.cpp;74.0;13;485_kscla.cpp;62.9;14;52_xyqkoala.cpp;59.2;15;443_zyx01.cpp;62.9;16;18_ZhuolinYang.cpp;55.5;
493_freedomDR.cpp;17;428_windlike-man.cpp;65.0;
14_Time-Limit.cpp;18;31_newhar.cpp;58.3;19;76_c_czl.cpp;75.0;20;376_psn.cpp;62.5;
417_HyyperMario.cpp;21;173_superj.cpp;55.5;
111_xinxin1000.cpp;22;215_lhrst.cpp;57.1;23;176_push_back.cpp;61.9;24;430_coral-4.cpp;66.6;25;419_ikaruga.cpp;66.6;
381_summerr.cpp;26;138_yanghaomai.cpp;57.6;
449_hamsik.cpp;27;353_izeuwy.cpp;52.1;
376_psn.cpp;28;31_newhar.cpp;53.8;
300_vipayyl.cpp;29;285_bluebear2.cpp;52.1;
