176_K_kkkyle.cpp;0;16_deadRabbit.cpp;56.7;1;34_ychzhou.cpp;35.8;2;121_qwnjc.cpp;32.4;
4_lucifer1004.cpp;3;3_int65536.cpp;51.4;4;130_agoodusername.cpp;42.6;5;29_cai_lw.cpp;33.8;
164_zkq609.cpp;6;75_zoulc.cpp;51.3;7;19_lozy219.cpp;43.8;
136_tonyli0000.cpp;8;10_DickLearning.cpp;47.0;9;127_ikusoken.cpp;40.5;10;117_nadeemsk4347.cpp;39.4;11;141_CreedBratton.cpp;37.1;12;101_please_AC.cpp;36.3;13;43_cuiaoxiang.cpp;32.2;
19_lozy219.cpp;14;108_xaviercai.cpp;45.2;
49_ShidaLei.cpp;15;126_nitinnarwal.cpp;41.2;16;106_sobols.cpp;40.9;17;139_manu_sy.cpp;33.0;
7_smax.cpp;18;179_MrGhasita.cpp;39.0;
131_cszclin.cpp;19;71_ykx_akks.cpp;37.9;20;27_sfiction.cpp;36.5;
165_pkucoin.cpp;21;465_a_c_w_LING.cpp;37.1;22;141_CreedBratton.cpp;36.6;23;166_FromDihPout.cpp;36.1;
141_CreedBratton.cpp;24;10_DickLearning.cpp;36.9;
123_inszva-2.cpp;25;33_Ujimatsu_Chiya.cpp;36.6;26;54_Kude.cpp;34.6;
78_AQT.cpp;27;130_agoodusername.cpp;35.2;
34_ychzhou.cpp;28;158_anh_tai.cpp;35.0;
124_Crossea.cpp;29;121_qwnjc.cpp;33.3;
