378_dystopiawave.py;0;130_layor.py;100.0;1;288_maxxjq.py;100.0;2;856_navin0706.py;100.0;3;589_tangyao0792.py;63.4;
856_navin0706.py;4;288_maxxjq.py;100.0;5;130_layor.py;100.0;6;589_tangyao0792.py;63.4;
288_maxxjq.py;7;130_layor.py;100.0;8;589_tangyao0792.py;63.4;
91_simonwux1.py;9;47_lddlinan.py;75.0;
589_tangyao0792.py;10;130_layor.py;63.4;
966_mohit46.py;11;735_forkgdb.py;49.1;
